,NO,song,group,lyrics
72,8,Queendom,Red Velvet,queens ah yeah ah yeah ah yeah ah yeah dururururu uhhuh ah yeah ah yeah ah yeah ah yeah yeah hey go dazzling sunlight smile brightly like child hmm yeah oh hey dream kept calling us wonderland beyond distant memories queens red castle need crown born dazzle paradigm building together stereotype clearly different look brighter pose problems sky throw makin rules cause queens kings put hands higher gathers beautiful gets shining bling bling even rains strong beautiful rainbow completed different ladidado babadida ladidado babadida shall start queendom yeah ladidado babadida ladidado babadida moment hold hands together queendom hoo strong nothing missing wake answer simple boss blow whistle oh bigger world noticing yeah shall festival shall hold hand hold waiting moment moment spread wings come play carnival climax starts watch makin rules oh yeah cause queens kings put hands higher gathers beautiful gets shining bling bling even rains strong beautiful rainbow completed different shout louder better follow light darkness new called together ooh never got forever queen cause queens kings oh put hands higher gathers beautiful gets shining bling bling oh yeah oh even rains oh strong beautiful ooh whoa rainbow completed different ladidado babadida oh yeah ladidado babadida oh yeah shall start qqueendom yeah ladidado babadida oh yeah ladidado babadida oh yeah moment hold hands together queendom yeah queendom
73,9,Red Flavor,Red Velvet,red flavor curious honey tastes like slowly melting strawberry bite look corner candy shop baby like taste summer wan na fall asleep underneath palm tree hot summer night breeze blows nineteen easily falling love cute together cool like love first sight keep thinking wan na go way red flavor curious honey tastes like slowly melting strawberry bite look corner candy shop baby like taste summer yeah open door seven rainbow world thrilling cool mmm love redder sun take want want look thinking w today imagine however want red flavor curious honey honey yeah tastes like slowly melting strawberry bite tastes like slowly melting strawberry look corner candy shop baby yeaheheh like taste summer yeah peach juice sweet sour mix mood cocktail wan na give brew red ears ringing nose numb feeling imagined bang red bet wan na bet wan na dance like shout like honestly nervous dripping sweat cute sun burnt falling love red red ah know feel even say heart keeps growing like spilled iced cream might melt away tell yeah yeah tell tell yeah yeah tell dye darker strikingly strikingly baby red flavor curious honey honey tastes like slowly melting strawberry bite strawberry taste look corner candy shop baby like taste summer like taste summer like summer
74,10,Bad Boy,Red Velvet,ooh mmm ooh mmm hey dat dat dat boy woo caught eye people ah ha blank face like provoking curiosity ah ha ah ha oh style chic outfit like tried way talk like care like try turn away attracted ooh different cold make laugh oh right know pretty hot days ah ah feel eyes ooh oh like bewitched follow everyone cheers soon ooh ooh ohehohehoh act like ooh ooh ohehohehoh wan na make bet come easily fun stay right ooh ooh ooh ooh ohehohehoh let play games ooh ooh ohehohehoh start bad boy whoa whoa w bad boy whoa whoa come sec something tell come closer put head match height ooh care much things focus voice situation changing woo curious know soon know tell already late right right actually pretty confident right play losing game ha ah ah already halfway fallen fine like bewitched follow follow everyone cheers everyone cheers soon ooh ooh ohehohehoh act like ooh ooh ohehohehoh wan na make bet come easily fun stay right ooh ooh ohehohehoh let play games ooh ooh ohehohehoh start bad boy bad boy sure confused even imagine try escape single crack go answer already follow naturally follow chose w already chose like bewitched follow ooh everyone cheers told ooh ooh ohehohehoh result always ooh ooh ooh ohehohehoh see come easily come easily fun ooh ooh ohehohehoh escape ooh ooh ohehohehoh easy bad boy
75,11,Russian Roulette,Red Velvet,lalalalala surrounded sharp secret behind veil deeper deeper hhhush aiming heart place dark night even shadows get lost oh always like love game say light easily enjoyed keep saying bad things trying avoid growing heart bbbeat getting faster like heart bbbbeat whenever see last moment comes closer closer crazy risky aim russian roulette ahahahyeah lalalalala already heart bbbbeat last moment trust sweet russian roulette dazzling secret turn away anymore pppush button accept heart filled look even dreaming oh still say love game tell voice shaking past playful eyes see knowing growing heart bbbeat getting faster like heart bbbbeat whenever see last moment comes closer closer crazy risky aim russian roulette ahahahyeah lalalalala already heart bbbbeat last moment trust sweet russian roulette never deep dream heart night makes game flicker control growing heart bbbeat getting faster explode heart bbbbeat hold onto key last moment comes closer closer crazy risky aim russian roulette ahahahyeah lalalalala already heart bbbbeat already engraved take deeper heart sweet russian roulette growing heart bbbeat getting faster lalalalala growing heart bbbeat getting faster lalalalala heart bbbbeat
76,12,Peek-A-Boo,Red Velvet,hmm yeah yeah oh gosh crazy oh gosh yeah emotional girl fall love easily yeah yeah yeah yeah like new things sparkle everyone like right peekaboo love heart flutters la la la la friends yell say problem fine fine fine fine fine fine pepeekapeekaboo pepeekapeekaboo fox wants fun peepeekapeekaboo said 1 2 3 play game let press button hurry like kung fu surprised even change mind attracted excuse 자 call let go play night restart game go forward roll blanka tonight let go playground popping time bored yeah yeah yeah yeah go round round oh everyone locked eyes peekaboo new love la la la la la friends yell yell say problem fine fine fine fine fine fine boobooboo peekabooboobooboo pepeekapeekaboo pepeekapeekaboo pepeekapeekaboo tag fun include pepeekapeekaboo till moon hangs jungle gym let play pepeekapeekaboo peekaboo strange different stop game look afraid felt new story begin yeah yeah yeah yeah yeah yeah pepeekapeekaboo yeah yeah yeah yeah pepeekapeekaboo la la la la la fox wants fun la la peekaboo peepeekapeekaboo na na na tag fun include yeah pepeekapeekaboo till moon hangs jungle gym let play na na na na ooh pepeekapeekaboo tag peekaboobooboo fun include peekaboobooboo pepeekapeekaboo till moon hangs jungle gym peekaboobooboo let play little yeah yeah pepeekapeekaboo peekaboo peekaboo peekaboo
77,13,Ice Cream Cake (song),Red Velvet,lalalalala lalalala lalalalala lalalala sunny relaxing holiday wearing pretty white dress left house humming lalalalala lalalala looking staring moment captivated heart trembling voice like sound drums heart twinkling sound bell rings lalalalala lalalala lalalalala lalalala lalalalala please give sweet taste ice cream cake flavor fits special day ice cream mouth makes heart pound come tasty come chase hold scream scream gim gim ice cream oh vanilla chocolate honey cherry top show different things every day variety rainbow reflected fountain pulled even draws love take go hurry go put small scooter hands wrap around waist make heart pound even day passed lalalalala lalalala lalalalala please give sweet taste ice cream cake flavor fits special day ice cream mouth makes heart pound come tasty come chase hold scream scream gim gim ice cream scream scream gim gim ice cream scream scream gim gim pops melting mouth putting much feel like mouth melting baby boy guys know anything fine wear clothes make stand never get wrong boo interest bag boring mondays wednesday thursday man wan na pass look toward see good vibes good feeling eyes meet gim give gim give gim give ice cream hurry give soft taste ice cream cake light candles wait warm heart ice cream cake kiss melts tasty come chase lips sweetly melting closing eyes sweet taste ice cream cake flavor fits special day ice cream mouth makes heart pound come tasty come chase hold scream scream gim gim ice cream scream scream gim gim ice cream scream scream gim gim lips
78,14,Power Up,Red Velvet,babanana bababanananana babanana bababanananana babanana bababanananana babanana bababanananana oh done anything already 3 clock drinking iced americano still hot sun teasing us asphalt 50 degrees wow want energy cold hot summer magic sparkling ocean flying already go go airplane fly like lightning throw kauai waves yeah yeah yeah yeah yeah yeah let power gon na burn babanana bababanananana babanana bababanananana babanana bababanananana ba let power playing fun oh want like want want want want yeah day passion burning take take take take yeah genius power need spontaneous instincts let go let level find electricity tonight hear engine roaring background music look already flying go go airplane fly sun diving sky getting goosebumps yeah yeah yeah yeah yeah yeah let power gon na burn go go airplane fly like lightning throw kauai waves yeah yeah yeah yeah yeah yeah let power gon na burn babanana bababanananana babanana bababanananana babanana bababanananana ba let power playing fun yeah yeah yeah yeah yeah teacher told uh uh fun whether playing working right yes shined even huh hotness newness mine go go airplane fly like lightning throw kauai waves yeah yeah yeah yeah yeah yeah let power gon na burn yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah go go airplane fly sun diving sky getting goosebumps yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah let power gon na burn babanana bababanananana babanana bababanananana babanana bababanananana ba let power playing fun
79,15,Rookie,Red Velvet,live produced colleagues take one yeah alright 12 confidently lift head look course rookie rookie super rookie rookie boy like every time see type course rookie rookie super rookie rookie boy ha presence big even doubt feelings second pretending enjoy haha trying laugh even way talk turns ice front suddenly came life already putting danger bewitching even memorized number one try keep shaking come close yes right boy ha rookie rookie super rookie rookie rookie right right sensual feeling rookie rookie super rookie rookie rookie right right sensual feeling course nicely coming closer handsome rookie rookie super rookie rookie boy every time like heart gets electric handsome rookie rookie super rookie rookie boy ha smile look guys boyfriend got mad every morning come pick baby cause worried someone take away day cautious baby yeah like sharpened eyes still nothing special much longer gon na make wait come little closer yes right boy ha suddenly came life already putting danger bewitching even memorized number one try keep shaking come close yes right boy ha rookie rookie super rookie rookie rookie rookie rookie yeah right right sensual feeling whoa rookie rookie super rookie rookie rookie hoo right right sensual feeling getting scared much took heart acting much colder though getting nervous uh try hide already star heart keeps twinkling brighter yeah rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie rookie super rookie rookie rookie right right sensual feeling rookie rookie super rookie rookie rookie right right sensual feeling
80,16,Dumb Dumb,Red Velvet,dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb thinking hard day still know baby baby baby baby baby play play play play play eyes take breath away confuse makes rational senses scatter away baby baby baby baby baby crazy crazy crazy crazy crazy crazy yeah like mannequin everything awkward ha ha ha act like normally whenever see act stupid eyes nose lips even face arms legs walk listen dumb dumb dumb dumb dumb dumb dumb dumb trembling heart jumping moods control dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dreamed romantic movie love always makes palms sweaty baby baby baby baby baby make crazy crazy crazy crazy hey like mannequin everything awkward ha ha ha act like normally whenever see act stupid dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb oh dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb ah dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb need beat boy michael jackson bad billie jean leave alone ambiguous want black white give man mirror wan na trip harsh boy make scream like well love really never felt good electrifying like watching thriller escape hate wan na like unnie w keep calling cute like little brother robot everything awkward ha ha ha think broken think forgot even breathe eyes nose lips oh even face arms legs walk walk listen dumb dumb dumb dumb dumb dumb dumb dumb trembling heart jumping moods control dumb dumb dumb dumb dumb dumb dumb oh dumb dumb dumb dumb baby dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb must dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb dumb oh oh oh oh oh
81,17,Wish Tree,Red Velvet,shining lights past cold glass window cold streets wait first snow little little joy spreads even crying babies fall asleep tonight top frozen branches one one snowflakes fall underneath let quietly hold hands make wish first wish happy like today second wish always together even several winters third wish wishes come true kids lining meet santa twinkling eyes bright smiles used like back days top aromatic gingerbread christmas tree small snowflakes give scent inside small spring flower shyly dreams underneath let quietly hold hands make wish first wish happy like today second wish always together even several winters third wish wishes come true like angel came kissed snowflakes blooming first wish happy like today second wish always together even several winters third wish wishes come true
82,18,Umpah Umpah,Red Velvet,umpah umpah umpah umpah umpah umpah umpah umpah go umpahpah uh yeah uh yeah warning careful might deep seen many come know ask eyes see deep hope different floundering around stifling suffocating falling afraid sure breathe partner feel rhythm body remembers like something unforgettable right follow heart like fly horizon umpah umpah umpah umpah breathe together umpah umpah umpah umpah look eye umpah umpah umpah umpah like something unforgettable let beat drop feel hot hot uh yeah baby umpahpah huh little weird ding um keep missing beat warning drink water oh yeah yeah yeah keep dumb dumb wait curious rred flavor happiness nearby like ice cream cake ice cream cake crazy suffocating crazy suffocating falling falling afraid always s breathe float feel rhythm body remembers like oh yeah something unforgettable unforgettable right right follow heart like fly horizon umpah umpah umpah umpah keep rhythm oh keep umpah umpah umpah umpah keep step oh keep umpah umpah umpah umpah ooh yeah like something unforgettable look oh eyes capturing sun oh yeah look like unforgettable moment feel rhythm feel rhythm body remembers like heart like something unforgettable unforgettable right right heart flows count lose hands oh fly horizon ohh umpah umpah umpah umpah breathe together oh together umpah umpah umpah umpah eye oh ah yeah umpah umpah umpah umpah like moment like something unforgettable unforgettable let beat drop right feel hot hot hot go yeah umpahpah
83,19,Happiness,Red Velvet,sometimes got ta bold rock world booya lalala lalala lalalala happiness lalala lalala lalalala happy uh worries blow feeling bad change gather strength wind good things happen straight everyday style focus things make mood happy life tell secret wake morning tell mom love aiyoo nice daughter happy feelings following cute makes happy uh talking money power following adults look depressed people truly happy happy things good things world full money power stopped caring long time ago little different want keep worrying lot regrets adult yesterday today tomorrow diary full finding happiness little different believe strength optimism lalala lalala lalalala happiness lalala lalala lalalala want lalala lalala lalalala let dream lalala lalala lalalala uh happy uh friend met way school came linked arms smiled happy group prankster boys pay attention walk happy may nag world best mom hey hey take adults nothing fight tv like little little happy thing makes happier side uh wan na money power following adults look depressed people truly happy happy things good things world full money power stopped caring long time ago little different ago ago ago ago want keep worrying ago ago ago ago lot regrets adult yesterday today tomorrow like little little diary full finding happiness little different happy believe strength optimism lalala lalala lalalala happiness lalala lalala lalalala want lalala lalala lalalala let dream lalala lalala lalalala uh happy uh shine let shine yeah embrace let shine shine let shine yeah arms let shine lalala lalala lalalala happiness lalala lalala lalalala want lalala lalala lalalala let dream lalala lalala lalalala happiness
84,20,Zimzalabim,Red Velvet,hoo hahaha ready zimazalabim chasing anything thing thing get burnt sit wish wish wish come true take look true self see really want want want want tell fun today throw worries flat earth nananana nanananana higher incantation blooming lips let go nananana nanananana higher ha zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim oh look smiling brightly surprised exactly moment cast spell everyone becomes happy nananana nanananana higher become accustomed restrictive world numb follow else need hey girls aha ready oh yeah let look dreams faded away vanished let run together boys shout loud playful voice leave everything behind zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim look eyes filled hope shining like gem oh wander aimlessly far away dazzling smile brightly dream inside zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim zimzalabim zimzimzalabim zimzimzalabim zimzim nanananana nananana nanananana nananana nanananana nananana nanananana nananana
85,21,RBB (Really Bad Boy),Red Velvet,hey alright alright yeah bad boy bad boy alright 1 2 5 uh days panic situation ha honestly total holic hey head filled thoughts one one one one one one one one one one one one ah ah ah alright hey friends say bad get hurt ah ah ah uhm stop like yeah go oh oh god ey oh god really bad boy really bad boy oh god ey oh god really bad boy really really really really really bad boy ey yeah yeah yeah bad boy oh oh oh bad boy oh oh oh bad bad bad bad ey yeah yeah bad bad bad bad boy ey yeah yeah bang bang pow really bad boy say lives trusting handsome face alright try tame boy mine mine mine mine ah ah ah alright hey way allow try become baddest ah ah ah w change thrilling oh oh god ey oh god oh god oh god really bad boy really bad boy oh god oh god ey oh god really bad boy really really really really really bad boy bad boy oh oh oh bad boy oh oh oh bad bad bad bad ey yeah yeah bad bad bad bad boy ey yeah yeah good give someone else ah look love anybody would fall bad boy bad bad boy bad bad boy bad bad boy bad bad boy bad bad boy bad matter bad like shine world anybody would fall bad boy bad bad boy bad bad boy bad bad boy bad oh god really bad boy really really really really really bad boy oh god oh oh oh really bad boy oh oh oh really bad boy oh god ey yeah yeah really bad boy really bad boy ey yeah yeah oh god really bad boy really bad boy really bad boy really bad boy oh god really bad boy really bad boy really really really really really bad boy woo mmm
86,1,POP!,Twice,wrong stir mind bewitchingly pop pop pop watch heart blown burst pop pop pop let start way want play stop c mon shake know remember hands get away twitch eyes nervous gestures baby want pop fluttering stops wan na make pop pop pop want pop pop pop want pop feeling heart pounding wan na make pop pop pop want pop pop pop want make mine pop pop pop uh uh want pop pop pop uh uh got pop pop pop uh uh pop pop pop obvious matter try hide already shows keep floating around relax check go ahead take baby baby control control fluttering stops wan na make pop pop pop want pop pop pop want pop feeling heart pounding wan na make pop pop pop want pop pop pop want make mine pop pop pop uh uh want pop pop pop uh uh got pop pop pop uh uh pop pop pop pop pop might pop like bubble keeps getting bigger bigger try deny bae bae eyes gon na pop five time four hold breath three aiming two one go fluttering stops wan na make pop pop pop want pop pop pop want pop feeling heart pounding wan na make pop pop pop want pop pop pop want make mine pop pop pop uh uh pop pop pop got ta pop pop pop pop stop pop pop pop
87,2,Talk That Talk,Twice,eyes grinning lips pretty nice like oh yeah z quite sweet s right wan na skip skip important thing thing get straight point stop beating around bush mean l word show show let know let know right need hints solve crosswords crosswords beep beep beep beep beep time think already know wan na hear say baby know answer yes yes nt wan na waste time pushandpull uh huh dare say uh huh want 1 10 yeah let s get started right tell want tel need z tell everything start like talk talk one word talk talk love let ooh yeah yeah turn eyes look look look go roll roll roll read words exchange eyes words one one 1 2 3 1 2 3 gentle like abc like abc nt stop replay replay yeah s request baby hold say sweetly say sweetly tell tell mi ji know sometimes common words best things say favorite part time want re almost let s get started right tell want tel need z tell everything start like like talk talk one word oh talk talk love let ooh yeah simple words love s wan na hear without hesitation ll go ll make simple tell love na ji tell want tell need oh oh z although like favorite favorite talk talk one word love ohoh talk talk love love oh yeah sounds good good good makes fall deeper yeah tell want tel need tell one time s right said said talk talk one word love love love talk talk love let ooh yeah yeah turn
88,4,Alcohol-Free,Twice,jyp something magical happens keep smiling reason though nothing going spell cast upon could stay night without feeling sleepy thoughts go away heart beats louder love feels easy fall deeper deeper alcoholfree get drunk drunk drunk drink happens whenever im happens happens way look champagne wine drink eyes tequila margarita lime sweet mimosa piña colada drunk im drunk drunk im drunk special although hard yeah make stars come broad daylight one sip spell cast upon cast upon could stay night without feeling sleepy without feeling sleepy thoughts go away heart beats louder love feels easy fall deeper deeper alcoholfree get drunk drunk drunk drink happens whenever im happens happens way look alcohol percentage completely 00 get lost whenever drink doesnt wear even sleep actually quite like feeling mouth tummy like drink made honey whats name drink anyway makes whole world bright sunny alcoholfree get drunk drunk drunk drink happens whenever im happens happens way look champagne wine drink eyes tequila margarita lime sweet mimosa piña colada drunk im drunk drunk im drunk
89,5,Dance The Night Away,Twice,lalalalalalala lalalalalalala lalalalalalala moonlight festive night shining stars moment start dancing sound waves feeling right sea play us hello wind come moonlight world together party night long yeah good wan na fun like salty air moment special dont miss pleasure two three lets go dance like flying top world hey lets dance night away dance night away one two three lets go shout side sea lets dance night away night away lets dance night away night away lets dance night away cool night halfmoon smiling reach moons far side promise party yeah good wan na fun like silver sand moment special dont miss pleasure two three lets go dance like flying top world hey lets dance night away dance night away one two three lets go shout side sea lets dance night away today last far far away jump youre flying higher higher loud like today last day falling starlight oh lets dance night away yeah yeah dance night away one two three lets go shout side sea lets dance night away yeah yeah yeah yeah yeah yeah yeah yeah dance night away lets dance night away yeah yeah lets dance night away yeah yeah lets dance night away yeah yeah dance night away
90,6,Cheer Up,Twice,day phone rings bell bell bell please give break batterys running low keeps coming keeps coming think phone might burst dont know dont know says take breath away hes struggling hoo make heart race ha says im pretty im showing anything sorry answering earlier friend shy shy shy shy cant really meet right sorry call little later beg wont last long ill let call baby still early heart would show baby cheer baby cheer little girl cant give heart away easily thats like even pretend like dont care wont know like get together baby cheer need hear anxiety voice see phone covered sweat attractive answer right away messages responding given ohohoh harsh boy im worried youll get tired ohohoh might fall deeper fall deeper ah sorry couldnt reply friend shy shy shy shy cant really meet right sorry call little later beg im going anywhere ill baby dont hasty show mean ill wait baby cheer baby cheer little girl cant give heart away easily thats like even pretend like dont care wont know like get together baby cheer like im afraid might get hurt worried hope understand afraid feelings might show come little wont long get together baby cheer man real man got ta see love like real man man real man got ta see love like real man baby cheer baby oh little girl cant give heart away easily thats like even like even pretend like dont care wont know like wont know like yeah get together baby cheer
91,7,Heart Shaker,Twice,yeah yeah yeah yeah yeah come love come love baby yeah yeah yeah yeah yeah come love come love baby spacing pondering really right thing yeah yeah yeah yeah well whatever crazy m tzuyu say hi write number note give run away yeah yeah yeah yeah time girl eyes meeting love timing miss might regret da chae love coming coming da chae courage hesitate anymore though may seem weird help cuz fallen heart shaker shaker wan na lose heart shaker shaker wait like fool m gon na tell like miss day would love ve fallen get awkward act cool cool need get nervous yeah yeah yeah yeah stay focused concentrate look properly time girl eyes meeting love timing miss might regret da chae love coming coming da chae courage hesitate anymore though may seem weird ca nt help cuz ve fallen heart shaker shaker wan na lose heart shaker shaker wait like fool m gon na tell like miss day would love ve fallen end want end loving really hope feel oh yeah hesitate come closer hold back tell love come baby love come baby bae bae bae bae though may seem weird whoa whoa yeah help cuz fallen baby baby yeah heart shaker shaker wan na lose heart shaker shaker wait like fool ooh yeah m gon na tell like baby yeah miss day love ve fallen yeah yeah yeah yeah yeah yeah yeah yeah mine mine mine mine yeah yeah yeah yeah yeah yeah yeah yeah ll tell like fallen
92,8,What Is Love%3F,Twice,twice love day felt love movies books dramas mmm thats learned love heart kept racing story heart pounding fluttering mmm im curious im going crazy maybe day things happen wan na know say sweet like candy wan na know say feels like flying wan na know know know know love love feel like wan na know say smile day wan na know say world becomes beautiful wan na know know know know love kind love come imagining right thinking makes heart explode mmm makes happy love really comes day dont even know might cry mmm im curious im going crazy maybe day things happen wan na know say sweet like candy wan na know say feels like flying wan na know know know know love love feel like wan na know say smile day wan na know say world becomes beautiful wan na know know know know love kind love come part world living get meet dont know meet wonder feel like think itll really nice better movies dramas love come predictions always right hurry come im always ready could find could miss much dont think stand anymore say sweet like candy say feels like flying wan na know know know know love love feel like say smile day say world becomes beautiful wan na know know know know love kind love come wan na know wan na know love wan na know know know know wan na know love wan na know wan na know wan na know love wan na know wan na know know know know love wan na know
93,9,Fancy,Twice,cloud sky tropical yeah red sun like cheek oh tell m one babe fancy fancy fancy twice s dangerous pricks like rose s okay afraid hold harder take hand little dangerous even dangerous baby sa like sweet chocolate icecream feelings melting lovely tzu shining brightly dark universe star star big star next fancy nt want anyone hey love love ya yes fancy happy like dream cause need fancy ooh cares likes first fancy ooh come fancy ooh everyday ca nt anything really oh mayday become serious bang bang head hypnotized becomes reset sure right sos swim swim become submarine sea called everyday birthday sweet fantasy dream dream s like dream pinch cheek nowadays status message la la la baby sa like sweet chocolate icecream feelings melting lovely tzu shining brightly dark universe star star big star next fancy nt want anyone hey love love ya yes fancy happy like dream cause need fancy ooh cares likes first fancy ooh come fancy ooh suddenly disappear like smoke always full take eyes become cozy thinking secretly hold behind never let go fancy fancy nt want anyone oh woah ooh whoa hey love love ya yes fancy happy like dream cause need fancy ooh cares likes first fancy ooh come fancy ooh
94,10,Yes Or Yes,Twice,hey boy look m gon na make simple got two choices yes yes ah choose one two yes yes ah ah make choice come yes yes since selfish ever want something eagerly everyone surprised surprised shameless come tell yes scenario become daring thought d say plan perfect quite satisfying satisfying nt care nt care matter others say better tell yes decided yes s time hear answer s hard examples choose nt waste time thinking nt know ll choose prepared options chae choose one two yes yes nt know want prepared options sa make choice come yes yes say us respect choice reject rejection one answer choice s na choose one two yes yes mean guess serious ask nt give unsure sidetoside want sure upanddown letters n amp ll erase today s need think hard answer yes yes yo bring hidden selfishness eyes curiosity make heart burning heart burn burn burn better hurry make simple whatever choose waiting though may seem bit absurd though might say m insisting oh ll make never regret nt know ll choose prepared options chae choose one two yes yes nt know want prepared options sa make choice come yes yes say us respect choice reject rejection one answer choice s maybe maybe yes make clearly show feel open ears nt hear s simple e hey choose one two yes yes hey make choice come yes yes oh one yes yes yes take pick choice nt know ll choose prepared options oh chae choose one two yes yes oh nt know want prepared options prepared babe sa make choice come yes yes oh say us respect choice reject rejection oh one answer choice s s na make choice come yes yes
95,1,Illusion,Aespa,youre yummy yummy yummy tummy tummy tummy look walking faster look stimulates curiosity look unrecognizable distance baby dont panic one nights party moon waxing timing lets keep secret shh us one nights party dragging going heart ive stolen enjoying magical feeling tonight leading new world light follow come get illusion swallow delicious irresistible bait hook feeding attention growing follow come get illusion getting bigger delicious bigger bigger fire feeding attention growing wisp come dont afraid wisp come dont afraid easy peasy know dizzy dish wisp scares boo wont see coming sudden apparition brand new style inexplicable timing weak spot hit funny one nights party attracted trick cant block even though know awkward feeling tonight leading hidden instincts light follow come get illusion swallow delicious irresistible bait hook feeding attention growing follow come get illusion getting bigger delicious bigger bigger fire feeding attention growing wisp come dont afraid wisp come dont afraid yummy yummy yummy tummy tummy tummy surprised face sniping taste even though run away already doesnt matter ooh whoa whoa yeah yeah come get illusion fool follow come get illusion witness youre one youre guard swallow youre guard feeding fantasies growing follow come get illusion innocent prey delicious sight hunter stealing heart growing wisp come dont afraid wisp come dont afraid
96,2,Next Level,Aespa,im next level yeah follow absolute rules dont let go hand unity weapon walk kwangya know home ground confront threat beat beat beat wooweewoo wee unexpected black temptation deep strong hot hot wooweewoo wee letting go hands held together ill never give im next level open door next level kawin ill destroy thе end next level reach kosmo next level beat beat beat la la la la la la la la la la la la la la la la la la la la la la la see nu evo hostile suffering sorrow make popping evolve thats naevis naevis lead follow learning feelings watch make watch work watch make watch work work work work even unbearable despair cant break faith watch work even painful trial comes wont let go hand oh watch work beat drop naevis calling never look back dont covet things kwangya promises broken everything control signal becoming unstable since certain point time ill destroy end want come show way kosmo yeah hallucination quest created black mamba aespa want separate ae thats right lose balance voice illusion criticized alienated kagi naevis call ae ae aespas next level open pos real world im awake villain whats name black mamba wooweewoo wee open door end light like fire hot hot wooweewoo wee im dying know next story unfold huh im next level open door next level winning ill destroy end next level reach kosmo next level beat beat beat im next level become stronger free next level im longer kwangya next level feel im like beast next level beat beat beat huh
97,3,Savage (song),Aespa,oh gosh dont know im savage im killa break ae youre still hiding hallucinating beat holler im afraid hit harder push deep fake unprepared stage corner fake got everybody mock shake feel ashamed cold spectators collapsed ae cant stand anymore say wait see im little savage dirty play cant stand longer want break hallucinations becoming reasons construct im savage ill break pieces oh im savage ill crush oh get get get get zu zu zu zu get ill become savage zu zu zu zu get get get get zu zu zu zu im going get im savage kaning gim gim kaning gim gim zu zu zu zu kaning see words kaning weakness algorithm zu zu zu zu wingi steaming steaming wingi steaming steaming zu zu zu zu wingi ae synk wingi dont bother bog savage zu zu zu zu mmmh everybody looks im used take step back endure like adult im locked glass want play horrible expectation im locked hallucination frame im going kwangya game defeating subtle alienation making drift apart ae satisfying trick gone kwangya game cut sword light damaged merciless punch see im little savage block regenerative power distract leave dont forget kwangya control time space make break im savage ill break pieces oh im savage ill crush oh get get get get zu zu zu zu get ill become savage zu zu zu zu get get get get zu zu zu zu im going get im savage kaning gim gim kaning gim gim zu zu zu zu wingi see words wingi weakness algorithm zu zu zu zu kaning steaming steaming kaning steaming steaming zu zu zu zu wingi ae synk wingi dont bother bog savage zu zu zu zu one protected trouble naevis love u victory one synk dive opportunities youve created know sacrifices oh naevis love u know well make sure find memories lets meet surely resurrection savage savage yeah get get get get get get zu zu zu zu get get ill become savage get oh zu zu zu zu get get get get get get zu zu zu zu im going get get im savage get kaning gim gim yeah yeah kaning gim gim yeah yeah zu zu zu zu kaning see words kaning weakness algorithm zu zu zu zu wingi steaming steaming steaming wingi steaming steaming zu zu zu zu wingi ae synk wingi dont bother bog savage zu zu zu zu ha ha
